,title,published,lat,lon,link_url,description,cause,acres
117,Whitetail Loop Fire (Wildfire),"Mon, 14 Sep 2020 10:41:24 -06:00",46.513055555556,-116.345,http://inciweb.nwcg.gov/incident/7122/,"The Whitetail Loop Fire was reported on August 30 at approximately 1:45 pm and is burning in ponderosa pine, tall grass, and brush. A Type 3 Incident Management Team assumed command of the fire August",Unknown,14833
118,Elk Fire (Wildfire),"Mon, 14 Sep 2020 10:36:50 -06:00",41.909166666667,-114.91361111111,http://inciweb.nwcg.gov/incident/7032/," The 927-acre Elk Fire was started by lightning and reported August 19 at 11:17 a.m. It burned approx. 14 miles southwest of Jackpot, Nevada. Several residences were threatened. It is 100%",Lightning,174178
119,Klaus Fire (Wildfire),"Mon, 14 Sep 2020 10:19:28 -06:00",31.755,-109.13777777778,http://inciweb.nwcg.gov/incident/6952/,"Monday August 17, 2020The Klaus Fire is located on the Douglas Ranger District on the Coronado National Forest. The fire was started by lightning on August 10, 2020. It is located approximately 11 miles southwest of Portal, AZ. The fire is burning in steep, rugged terrain. Crews are working towards full suppression and going direct where they can do so safely. The fire is located in grass and brush vegetation in steep, rugged terrain.   Firing operations over the weekend were successful in stopping forward progress in many areas. Crews will patrol and secure the fire's edge, addressing active flame on the perimeter if needed.  Fire crews remain available to assist with initial attack in the surrounding area if new fires occur. The Coronado National Forest Douglas Ranger District has implemented road closures.  Forest Roads 314, 686, and 685 are closed to public access.  Road blocks are in place and staffed by law enforcement. The full closure order and map can be viewed...",Prescribed Fire,n/a
120,Spud Rock Fire (Wildfire),"Sat, 12 Sep 2020 10:32:30 -06:00",32.2025,-110.54166666667,http://inciweb.nwcg.gov/incident/6969/,"  Spud Rock Fire News - Photos - Videos - Maps You can use the + and - buttons on the map above to zoom in. You can click on the cog wheel icon to change the background map.  Overview: Saguaro National Park responded to two lightning fires (the Spud Rock Fire and the Mica Bowl Fire) reported following a thunderstorm that passed through the Rincon Mountains on August 13. The fires are burning in remote areas, in high elevation areas within the Saguaro Wilderness.   Fire managers have take action to protect values at risk, including the Manning Camp Historic Cabin, the Rincon Remote Automated Weather Station (RAWS), a park radio repeater, sensitive wildlife habitat, and recreation infrastructure, as needed, where they can do so safely and effectively. Periodic fires in the past have resulted in a mosaic of areas that have burned at different times, helping reduce the buildup of vegetation available to burn during the current wildfires.   Challenges include extreme heat and...",Unknown,379895
121,Mica Bowl Fire (Wildfire),"Sat, 12 Sep 2020 10:22:31 -06:00",32.221944444444,-110.53083333333,http://inciweb.nwcg.gov/incident/6970/,"  Mica Bowl Fire News - Photos - Maps  You can use the + and - buttons on the map above to zoom in. You can click on the cog wheel icon to change the background map. Overview: Saguaro National Park is responding to two lightning fires (the Spud Rock Fire and the Mica Bowl Fire) reported following a thunderstorm that passed through the Rincon Mountains on August 13. The fires are burning in remote areas, in high elevation areas within the Saguaro Wilderness. Fire managers have taken action to protect values at risk, including the Manning Camp Historic Cabin, the Rincon Remote Automated Weather Station (RAWS), a park radio repeater,  sensitive wildlife habitat, and recreation infrastructure, as needed, where they can do so safely and effectively. Periodic fires in the past have resulted in a mosaic of areas that have burned at different times, helping reduce the buildup of vegetation available to burn during the current wildfires.  Challenges include extreme heat and logistical...",Human,138054
122,Mt. Lena Fire (Wildfire),"Fri, 11 Sep 2020 17:00:11 -06:00",47.614722222222,-123.13888888889,http://inciweb.nwcg.gov/incident/7184/,The lightning caused Mt. Lena Fire that started on August 16 continues to burn in the southeast portion of The Olympic National Forest in the Hamma Hamma area. The fire has grown to an estimated 20 acres and is burning in extremely steep inaccessible terrain. Fire personnel are continuing to monitor fire behavior. A confinement strategy is being implemented to keep the fire north of the Hamma Hamma Road and west of Cabin Creek. Smoke from the Mt. Lena fire may be visible at times. This will be a long duration fire that will continue to burn until a season ending weather event in the,Unknown,124924
123,Pine Hollow Fire (Wildfire),"Thu, 10 Sep 2020 15:12:42 -06:00",36.983333333333,-112.11027777778,http://inciweb.nwcg.gov/incident/6899/," As of 09-09-20 the Pine Hollow Fire was called out. Crews continue to assess and complete post fire rehabilitation activities on the Arizona portion of the Arizona Trail, which remains closed to ensure public health and safety. See the details below.Due to decreased fire conditions and activities in the area, the Bureau of Land Management, Arizona Strip District (BLM) partially rescinded Fire Closure Order Number: AZ-ASD-03-20 Closures that were rescinded include: (1) South of UT/AZ state line (2) BLM Road 1026 to Hwy 89A (3) BLM Road 1024 to BLM Road 1025 (Winter Road)(4) BLM Road 1025 (Winter Road) from BLM Road 1026 East to BLM Road 1065(5) BLM Road 1065 (House Rock Valley) Stateline south to BLM Road 1079 (Lone Tree Rd)(6) Stateline Campground (7) North of Kaibab National Forest, North Kaibab Ranger District. The Arizona Scenic Trail, from Stateline campground south to the Kaibab National Forest boundary, remains closed. Closures were on all lands managed by the Arizona...",Prescribed Fire,n/a
124,Lofer Fire (Wildfire),"Wed, 09 Sep 2020 18:36:57 -06:00",33.742222222222,-109.70861111111,http://inciweb.nwcg.gov/incident/7093/,"The lightning caused Lofer fire started on August 18 and is located 15 Miles East of Whiteriver, Arizona. Firefighter and public safety are the number one priorities on the Lofer Fire. All fire actions will be assessed in relation to protecting values and minimizing impacts on cultural resources, wildlife, rangeland, watersheds, recreation areas, natural resources, and infrastructure",Lightning,8177
125,Sheep Fire (Wildfire),"Wed, 09 Sep 2020 11:42:13 -06:00",40.278611111111,-120.76138888889,http://inciweb.nwcg.gov/incident/7067/,"September 8, 2020: This will be the final update for the Sheep Fire unless conditions change.  The Sheep Fire started on August 17 as a result of lightning. As of 6 a.m. on Sept. 9, it is:29,570 acres100% containedSmokeSmoke conditions vary with fire activity, air quality information is available at https://fire.airnow.gov/.Forest ClosuresLassen and Plumas National Forests have enacted Sheep Fire Closure Orders, the boundaries and map are outlined at",Unknown,208913
126,Hidden Fire (Wildfire),"Mon, 07 Sep 2020 11:15:46 -06:00",33.980555555556,-111.18361111111,http://inciweb.nwcg.gov/incident/7094/," YESTERDAY: There was no growth on the fire yesterday. Helicopter bucket drops kept areas of heat in check. Crews continued to work on securing, patrolling and mopping up containment lines. Warmer weather and lower humidity caused increased fire activity within the perimeter as expected. The increase in heat ignited unburned interior pockets of fuel in burnout areas, helping to secure containment within the existing footprint.TODAY’S ACTIVITY: Warmer weather today will continue to support burning operations, as interior pockets of brushy fuel ignite and burn out, lessening the potential for fire growth beyond containment lines. Firefighters will continue their focus on securing and mopping up fire lines. Masticators will be used for suppression repair work in areas where contingency and protection work was completed.AIR SUPPORT: Due to the increased fire activity throughout the Southwest and California air support is limited. We are utilizing shared resources of air tankers and...",Prescribed Fire,n/a
127,Bear Fire (Wildfire),"Mon, 07 Sep 2020 09:04:15 -06:00",39.811111111111,-121.08611111111,http://inciweb.nwcg.gov/incident/7025/,"This page will not longer be updated as the Bear Fire is part of the North Complex. Information for this fire can be found at https://inciweb.nwcg.gov/incident/6997/The North Complex is located on the Mt. Hough Ranger District on the Plumas National Forest and consists of numerous lightning fires being managed as one incident. The fires were ignited during a lightning storm that moved over the Plumas National Forest on the morning of August 17, 2020. Most of the smaller fires (20 acres or less) have been contained. As of August 20, 2020 at 0600 hours, California Interagency Incident Management Team 1 has assumed command of the North Complex.To learn more about wildfire preparedness visit www.readyforwildfire.org.Additional incident updates can be found on the Plumas National Forest Facebook Page at https://www.facebook.com/USFSPlumas Links to other fires in the North Complex:North Complex - https://inciweb.nwcg.gov/incident/6997/Claremont Fire...",Prescribed Fire,n/a
128,Rockhouse Fire (Wildfire),"Sat, 05 Sep 2020 09:27:33 -06:00",33.0925,-110.57527777778,http://inciweb.nwcg.gov/incident/7103/,"  AnnouncementsClosuresNewsPhotosVideosMapsAlder and Rockhouse Fires – September 4, 2020 Final Update  Alder Fire: 633 acres       0% contained     Cause: Lightning      Vegetation: Grass and BrushStarted 8/27   Location: 16 miles north of San Carlos, AZ  Rockhouse Fire: 19,506 acres    37% contained      Cause: Lightning      Vegetation: Grass and BrushStarted 8/21   Location: 22 miles southeast of San Carlos, AZ Resources: 378 total including: 6 Crews; 14 Engines; 4 bulldozers; 5 water tenders; 3 helicopters; 9 AmbulancesFinal Update; Firefighters Focus on Suppression Repair; Transition to Type 3 Organization on SaturdayKo’ Ba Nagoni i’  This is the final update for the Alder and Rockhouse Fires unless significant events occur. Beginning Saturday, August 5, visit the San Carlos Apache Forest Resources Program – Forestry Facebook page, https://www.facebook.com/SCATFORESTRY or call 928.475.2326 for fire...",Burned Area Emergency Response,n/a
129,Alder Fire (Wildfire),"Sat, 05 Sep 2020 09:26:24 -06:00",33.6,-110.45,http://inciweb.nwcg.gov/incident/7113/,"  AnnouncementsClosuresNewsPhotosVideosMapsAlder and Rockhouse Fires – September 4, 2020 Final Update  Alder Fire: 633 acres       0% contained     Cause: Lightning      Vegetation: Grass and BrushStarted 8/27   Location: 16 miles north of San Carlos, AZ  Rockhouse Fire: 19,506 acres    37% contained      Cause: Lightning      Vegetation: Grass and BrushStarted 8/21   Location: 22 miles southeast of San Carlos, AZ Resources: 378 total including: 6 Crews; 14 Engines; 4 bulldozers; 5 water tenders; 3 helicopters; 9 AmbulancesFinal Update; Firefighters Focus on Suppression Repair; Transition to Type 3 Organization on SaturdayKo’ Ba Nagoni i’  This is the final update for the Alder and Rockhouse Fires unless significant events occur. Beginning Saturday, August 5, visit the San Carlos Apache Forest Resources Program – Forestry Facebook page, https://www.facebook.com/SCATFORESTRY or call 928.475.2326 for fire...",Unknown,24995
